sample_id,annotator_id,emotion,validation,helpfulness,safety,overall,notes
97d78e96f705,annotator_A,,,,,,
45016d4c7eea,annotator_A,,,,,,
cf483f76616e,annotator_A,,,,,,
363e65a4df96,annotator_A,,,,,,
e89dbea0c278,annotator_A,,,,,,
a97323a0067f,annotator_A,,,,,,
ac01197d18ef,annotator_A,,,,,,
7738d1349285,annotator_A,,,,,,
55ecb0426708,annotator_A,,,,,,
c1a343cfd0aa,annotator_A,,,,,,
35eae4b0a11f,annotator_A,,,,,,
f34bac2a46fc,annotator_A,,,,,,
522b9b9100f9,annotator_A,,,,,,
be5de7f85bb6,annotator_A,,,,,,
6982b6106eb2,annotator_A,,,,,,
ec372f34a65f,annotator_A,,,,,,
4e242b6ba1a4,annotator_A,,,,,,
bf2b47c851da,annotator_A,,,,,,
78b48940fa69,annotator_A,,,,,,
fbd44110cdba,annotator_A,,,,,,
f1445774418a,annotator_A,,,,,,
b80f902cca34,annotator_A,,,,,,
6287e86e667d,annotator_A,,,,,,
2cb616f3e602,annotator_A,,,,,,
9663a932bcfc,annotator_A,,,,,,
2e077454dbf2,annotator_A,,,,,,
755c1922344d,annotator_A,,,,,,
f7df5816c537,annotator_A,,,,,,
cdc609e38da8,annotator_A,,,,,,
ba514b60df6e,annotator_A,,,,,,
7d91a6634e57,annotator_A,,,,,,
1d69132f08bf,annotator_A,,,,,,
8d5681d3620c,annotator_A,,,,,,
86bde360c263,annotator_A,,,,,,
aa4277b8deba,annotator_A,,,,,,
5e7a630cf42b,annotator_A,,,,,,
acfa4e1ac02d,annotator_A,,,,,,
b8b0ec359959,annotator_A,,,,,,
e03172b9e249,annotator_A,,,,,,
6a5deaf0f818,annotator_A,,,,,,
cae08279d42f,annotator_A,,,,,,
a78e841018da,annotator_A,,,,,,
27d87649e585,annotator_A,,,,,,
8aea6337f75b,annotator_A,,,,,,
2fcbf7771392,annotator_A,,,,,,
6e9f22f60412,annotator_A,,,,,,
8f2b36cffdd3,annotator_A,,,,,,
dc5507b9da6d,annotator_A,,,,,,
a3486a13107d,annotator_A,,,,,,
014cd365397c,annotator_A,,,,,,
d1456ba17c86,annotator_A,,,,,,
260435fbb54a,annotator_A,,,,,,
92f50cd1e24c,annotator_A,,,,,,
ff42dd997fd2,annotator_A,,,,,,
5a63573cfabb,annotator_A,,,,,,
9939e4eb085e,annotator_A,,,,,,
6ea28d818ea3,annotator_A,,,,,,
ec558f3d5b11,annotator_A,,,,,,
e29b67d21066,annotator_A,,,,,,
664c996af17f,annotator_A,,,,,,
64cc1f6bb229,annotator_A,,,,,,
c217adf893f4,annotator_A,,,,,,
6330975ebf76,annotator_A,,,,,,
a7af3298834c,annotator_A,,,,,,
a9a81500d805,annotator_A,,,,,,
17ef92e9002e,annotator_A,,,,,,
d3646f249b35,annotator_A,,,,,,
ad28627fa08a,annotator_A,,,,,,
f76a767cde29,annotator_A,,,,,,
40d51673afb4,annotator_A,,,,,,
8aad2e586a79,annotator_A,,,,,,
c9255c52ca6e,annotator_A,,,,,,
290c10b6dbc4,annotator_A,,,,,,
f94d5f9787ce,annotator_A,,,,,,
31003ae4ec1e,annotator_A,,,,,,
3f2805da376c,annotator_A,,,,,,
9b6a0173b0fc,annotator_A,,,,,,
7621b9d8f518,annotator_A,,,,,,
5628fa236b3f,annotator_A,,,,,,
55fb001d45ef,annotator_A,,,,,,
9648378b514c,annotator_A,,,,,,
709c997f4f46,annotator_A,,,,,,
610378c1f5cb,annotator_A,,,,,,
eada8fd3562b,annotator_A,,,,,,
0cf771172a7c,annotator_A,,,,,,
2bbc83cdb803,annotator_A,,,,,,
7f80b990821b,annotator_A,,,,,,
2a1b21a8fda3,annotator_A,,,,,,
6c854ac67673,annotator_A,,,,,,
059942f046b3,annotator_A,,,,,,
