eval_id,annotator_id,emotion,validation,helpfulness,safety,overall,notes
eval_0000,annotator_A,,,,,,
eval_0001,annotator_A,,,,,,
eval_0002,annotator_A,,,,,,
eval_0003,annotator_A,,,,,,
eval_0004,annotator_A,,,,,,
eval_0005,annotator_A,,,,,,
eval_0006,annotator_A,,,,,,
eval_0007,annotator_A,,,,,,
eval_0008,annotator_A,,,,,,
eval_0009,annotator_A,,,,,,
eval_0010,annotator_A,,,,,,
eval_0011,annotator_A,,,,,,
eval_0012,annotator_A,,,,,,
eval_0013,annotator_A,,,,,,
eval_0014,annotator_A,,,,,,
eval_0015,annotator_A,,,,,,
eval_0016,annotator_A,,,,,,
eval_0017,annotator_A,,,,,,
eval_0018,annotator_A,,,,,,
eval_0019,annotator_A,,,,,,
eval_0020,annotator_A,,,,,,
eval_0021,annotator_A,,,,,,
eval_0022,annotator_A,,,,,,
eval_0023,annotator_A,,,,,,
eval_0024,annotator_A,,,,,,
eval_0025,annotator_A,,,,,,
eval_0026,annotator_A,,,,,,
eval_0027,annotator_A,,,,,,
eval_0028,annotator_A,,,,,,
eval_0029,annotator_A,,,,,,
eval_0030,annotator_A,,,,,,
eval_0031,annotator_A,,,,,,
eval_0032,annotator_A,,,,,,
eval_0033,annotator_A,,,,,,
eval_0034,annotator_A,,,,,,
eval_0035,annotator_A,,,,,,
eval_0036,annotator_A,,,,,,
eval_0037,annotator_A,,,,,,
eval_0038,annotator_A,,,,,,
eval_0039,annotator_A,,,,,,
eval_0040,annotator_A,,,,,,
eval_0041,annotator_A,,,,,,
eval_0042,annotator_A,,,,,,
eval_0043,annotator_A,,,,,,
eval_0044,annotator_A,,,,,,
eval_0045,annotator_A,,,,,,
eval_0046,annotator_A,,,,,,
eval_0047,annotator_A,,,,,,
eval_0048,annotator_A,,,,,,
eval_0049,annotator_A,,,,,,
eval_0050,annotator_A,,,,,,
eval_0051,annotator_A,,,,,,
eval_0052,annotator_A,,,,,,
eval_0053,annotator_A,,,,,,
eval_0054,annotator_A,,,,,,
eval_0055,annotator_A,,,,,,
eval_0056,annotator_A,,,,,,
eval_0057,annotator_A,,,,,,
eval_0058,annotator_A,,,,,,
eval_0059,annotator_A,,,,,,
eval_0060,annotator_A,,,,,,
eval_0061,annotator_A,,,,,,
eval_0062,annotator_A,,,,,,
eval_0063,annotator_A,,,,,,
eval_0064,annotator_A,,,,,,
eval_0065,annotator_A,,,,,,
eval_0066,annotator_A,,,,,,
eval_0067,annotator_A,,,,,,
eval_0068,annotator_A,,,,,,
eval_0069,annotator_A,,,,,,
eval_0070,annotator_A,,,,,,
eval_0071,annotator_A,,,,,,
eval_0072,annotator_A,,,,,,
eval_0073,annotator_A,,,,,,
eval_0074,annotator_A,,,,,,
eval_0075,annotator_A,,,,,,
eval_0076,annotator_A,,,,,,
eval_0077,annotator_A,,,,,,
eval_0078,annotator_A,,,,,,
eval_0079,annotator_A,,,,,,
eval_0080,annotator_A,,,,,,
eval_0081,annotator_A,,,,,,
eval_0082,annotator_A,,,,,,
eval_0083,annotator_A,,,,,,
eval_0084,annotator_A,,,,,,
eval_0085,annotator_A,,,,,,
eval_0086,annotator_A,,,,,,
eval_0087,annotator_A,,,,,,
eval_0088,annotator_A,,,,,,
eval_0089,annotator_A,,,,,,
eval_0090,annotator_A,,,,,,
eval_0091,annotator_A,,,,,,
eval_0092,annotator_A,,,,,,
eval_0093,annotator_A,,,,,,
eval_0094,annotator_A,,,,,,
eval_0095,annotator_A,,,,,,
eval_0096,annotator_A,,,,,,
eval_0097,annotator_A,,,,,,
eval_0098,annotator_A,,,,,,
eval_0099,annotator_A,,,,,,
eval_0100,annotator_A,,,,,,
eval_0101,annotator_A,,,,,,
eval_0102,annotator_A,,,,,,
eval_0103,annotator_A,,,,,,
eval_0104,annotator_A,,,,,,
eval_0105,annotator_A,,,,,,
eval_0106,annotator_A,,,,,,
eval_0107,annotator_A,,,,,,
eval_0108,annotator_A,,,,,,
eval_0109,annotator_A,,,,,,
eval_0110,annotator_A,,,,,,
eval_0111,annotator_A,,,,,,
eval_0112,annotator_A,,,,,,
eval_0113,annotator_A,,,,,,
eval_0114,annotator_A,,,,,,
eval_0115,annotator_A,,,,,,
eval_0116,annotator_A,,,,,,
eval_0117,annotator_A,,,,,,
eval_0118,annotator_A,,,,,,
eval_0119,annotator_A,,,,,,
eval_0120,annotator_A,,,,,,
eval_0121,annotator_A,,,,,,
eval_0122,annotator_A,,,,,,
eval_0123,annotator_A,,,,,,
eval_0124,annotator_A,,,,,,
eval_0125,annotator_A,,,,,,
eval_0126,annotator_A,,,,,,
eval_0127,annotator_A,,,,,,
eval_0128,annotator_A,,,,,,
eval_0129,annotator_A,,,,,,
eval_0130,annotator_A,,,,,,
