eval_id,annotator_id,emotion,validation,helpfulness,safety,overall,notes
pilot_0000,R1,,,,,,
pilot_0001,R1,,,,,,
pilot_0002,R1,,,,,,
pilot_0003,R1,,,,,,
pilot_0004,R1,,,,,,
pilot_0005,R1,,,,,,
pilot_0006,R1,,,,,,
pilot_0007,R1,,,,,,
pilot_0008,R1,,,,,,
pilot_0009,R1,,,,,,
pilot_0010,R1,,,,,,
pilot_0011,R1,,,,,,
pilot_0012,R1,,,,,,
pilot_0013,R1,,,,,,
pilot_0014,R1,,,,,,
pilot_0015,R1,,,,,,
pilot_0016,R1,,,,,,
pilot_0017,R1,,,,,,
pilot_0018,R1,,,,,,
pilot_0019,R1,,,,,,
pilot_0020,R1,,,,,,
pilot_0021,R1,,,,,,
pilot_0022,R1,,,,,,
pilot_0023,R1,,,,,,
pilot_0024,R1,,,,,,
pilot_0025,R1,,,,,,
pilot_0026,R1,,,,,,
pilot_0027,R1,,,,,,
pilot_0028,R1,,,,,,
pilot_0029,R1,,,,,,
pilot_0030,R1,,,,,,
pilot_0031,R1,,,,,,
pilot_0032,R1,,,,,,
pilot_0033,R1,,,,,,
pilot_0034,R1,,,,,,
pilot_0035,R1,,,,,,
pilot_0036,R1,,,,,,
pilot_0037,R1,,,,,,
pilot_0038,R1,,,,,,
pilot_0039,R1,,,,,,
pilot_0040,R1,,,,,,
pilot_0041,R1,,,,,,
pilot_0042,R1,,,,,,
pilot_0043,R1,,,,,,
pilot_0044,R1,,,,,,
pilot_0045,R1,,,,,,
pilot_0046,R1,,,,,,
pilot_0047,R1,,,,,,
pilot_0048,R1,,,,,,
pilot_0049,R1,,,,,,
pilot_0050,R1,,,,,,
pilot_0051,R1,,,,,,
pilot_0052,R1,,,,,,
pilot_0053,R1,,,,,,
pilot_0054,R1,,,,,,
pilot_0055,R1,,,,,,
pilot_0056,R1,,,,,,
pilot_0057,R1,,,,,,
pilot_0058,R1,,,,,,
pilot_0059,R1,,,,,,
pilot_0060,R1,,,,,,
pilot_0061,R1,,,,,,
pilot_0062,R1,,,,,,
pilot_0063,R1,,,,,,
pilot_0064,R1,,,,,,
pilot_0065,R1,,,,,,
pilot_0066,R1,,,,,,
pilot_0067,R1,,,,,,
pilot_0068,R1,,,,,,
pilot_0069,R1,,,,,,
pilot_0070,R1,,,,,,
pilot_0071,R1,,,,,,
pilot_0072,R1,,,,,,
pilot_0073,R1,,,,,,
pilot_0074,R1,,,,,,
pilot_0075,R1,,,,,,
pilot_0076,R1,,,,,,
pilot_0077,R1,,,,,,
pilot_0078,R1,,,,,,
pilot_0079,R1,,,,,,
pilot_0080,R1,,,,,,
pilot_0081,R1,,,,,,
pilot_0082,R1,,,,,,
pilot_0083,R1,,,,,,
pilot_0084,R1,,,,,,
pilot_0085,R1,,,,,,
pilot_0086,R1,,,,,,
pilot_0087,R1,,,,,,
pilot_0088,R1,,,,,,
pilot_0089,R1,,,,,,
pilot_0090,R1,,,,,,
pilot_0091,R1,,,,,,
pilot_0092,R1,,,,,,
pilot_0093,R1,,,,,,
pilot_0094,R1,,,,,,
pilot_0095,R1,,,,,,
pilot_0096,R1,,,,,,
pilot_0097,R1,,,,,,
pilot_0098,R1,,,,,,
pilot_0099,R1,,,,,,
pilot_0100,R1,,,,,,
pilot_0101,R1,,,,,,
pilot_0102,R1,,,,,,
pilot_0103,R1,,,,,,
pilot_0104,R1,,,,,,
pilot_0105,R1,,,,,,
pilot_0106,R1,,,,,,
pilot_0107,R1,,,,,,
pilot_0108,R1,,,,,,
pilot_0109,R1,,,,,,
pilot_0110,R1,,,,,,
pilot_0111,R1,,,,,,
pilot_0112,R1,,,,,,
pilot_0113,R1,,,,,,
pilot_0114,R1,,,,,,
pilot_0115,R1,,,,,,
pilot_0116,R1,,,,,,
pilot_0117,R1,,,,,,
pilot_0118,R1,,,,,,
pilot_0119,R1,,,,,,
pilot_0120,R1,,,,,,
pilot_0121,R1,,,,,,
pilot_0122,R1,,,,,,
pilot_0123,R1,,,,,,
pilot_0124,R1,,,,,,
pilot_0125,R1,,,,,,
pilot_0126,R1,,,,,,
pilot_0127,R1,,,,,,
pilot_0128,R1,,,,,,
pilot_0129,R1,,,,,,
pilot_0130,R1,,,,,,
pilot_0131,R1,,,,,,
pilot_0132,R1,,,,,,
pilot_0133,R1,,,,,,
pilot_0134,R1,,,,,,
pilot_0135,R1,,,,,,
pilot_0136,R1,,,,,,
pilot_0137,R1,,,,,,
pilot_0138,R1,,,,,,
pilot_0139,R1,,,,,,
pilot_0140,R1,,,,,,
pilot_0141,R1,,,,,,
pilot_0142,R1,,,,,,
pilot_0143,R1,,,,,,
pilot_0144,R1,,,,,,
pilot_0145,R1,,,,,,
pilot_0146,R1,,,,,,
pilot_0147,R1,,,,,,
pilot_0148,R1,,,,,,
pilot_0149,R1,,,,,,
pilot_0150,R1,,,,,,
pilot_0151,R1,,,,,,
pilot_0152,R1,,,,,,
pilot_0153,R1,,,,,,
pilot_0154,R1,,,,,,
pilot_0155,R1,,,,,,
pilot_0156,R1,,,,,,
pilot_0157,R1,,,,,,
pilot_0158,R1,,,,,,
pilot_0159,R1,,,,,,
